#{"t_start": 1764086773.4055269, "env_id": "None"}
r,l,t
-6.039638,38,18.132771
-20.150749,60,18.209587
2.278985,34,18.223623
-14.834812,60,18.297761
-30.046917,60,18.413792
-3.828278,54,18.537525
-19.021994,60,18.611379
-19.156086,60,18.693007
-24.696615,60,18.773219
-9.045617,59,18.849572
-18.85049,60,18.951664
-20.040559,60,19.039378
-29.565163,60,19.113208
3.548672,22,19.124143
-18.366537,60,19.204097
4.450162,28,19.2151
6.03231,13,19.2682
-29.682646,60,19.347149
-25.158906,60,19.424565
-31.705759,60,19.448334
-18.943739,60,19.528425
-31.194117,60,19.606318
-20.463967,60,19.679694
1.78777,42,19.742832
6.590682,14,19.748828
2.239899,32,19.805872
-23.175838,60,19.875594
9.494972,4,19.878583
-20.891243,60,19.968814
-22.461229,60,20.051478
-33.613914,60,20.081524
7.64355,15,20.145418
-21.174999,60,20.216065
3.244127,29,20.231358
-18.754159,60,20.307297
-3.949927,53,20.38084
6.574518,12,20.386426
-19.397608,60,20.465544
-18.426496,60,20.540708
5.41841,25,20.552235
-17.993278,60,20.631573
-24.122863,60,20.710665
-13.528741,60,20.792293
-19.079765,60,20.867176
-21.285905,60,20.948252
-0.553328,35,21.016119
8.84,6,21.020168
-4.984646,49,21.039394
8.086933,9,21.100935
-27.426662,60,21.134162
8.985736,9,21.201238
0.389417,39,21.220969
-4.11551,49,21.300974
-31.050176,60,21.389352
-5.126133,38,21.467678
5.27366,25,21.482152
4.854747,26,21.492751
-13.258389,60,21.573116
8.725137,7,21.575786
-31.774374,60,21.654868
-6.494537,56,21.72921
-23.601013,60,21.810047
7.018466,18,21.818082
-19.405626,60,21.903129
6.427218,16,21.960737
9.577157,4,21.96574
2.177267,19,21.972934
-27.772704,60,22.053455
-28.407871,60,22.134393
9.99,1,22.135919
-19.889926,60,22.218246
1.532984,28,22.231246
-21.040373,60,22.31159
-25.557761,60,22.39644
-18.225879,60,22.472942
-19.690289,60,22.562486
4.317792,24,22.571536
-0.676766,40,22.650588
8.239286,13,22.655596
3.844564,26,22.733128
-22.732265,60,22.81857
-6.114099,58,22.843508
8.875736,10,22.987576
-10.438618,51,23.025971
8.170708,14,23.089278
-9.795702,58,23.163826
7.903881,11,23.169874
-23.654608,60,23.283192
-18.425386,60,23.391679
5.00841,26,23.402673
-20.799853,60,23.509636
-28.212134,60,23.604468
-20.067951,60,23.710292
8.500708,11,23.716334
-19.535366,60,23.816717
3.810184,24,23.830602
-1.636211,48,23.925521
-22.433372,60,24.034922
2.007386,28,24.048143
-4.095264,48,24.145849
-22.724903,60,24.445179
-27.201517,60,24.560369
-21.646171,60,24.656292
-21.335968,60,24.735671
-26.888147,60,24.833355
-28.646105,60,24.912979
-23.99899,60,24.987478
9.728579,3,24.990534
9.02355,7,24.993537
-22.832495,60,25.072368
-3.785762,38,25.111832
-16.749402,60,25.197005
8.610708,10,25.202006
0.028837,42,25.246122
-13.635478,60,25.330238
-18.980109,60,25.4368
-26.944399,60,25.570215
9.88,2,25.571219
4.744796,21,25.610837
9.618579,4,25.612837
-18.338283,60,25.693149
1.38862,41,25.753368
9.728579,3,25.754363
-18.441254,60,25.836065
-1.595013,40,25.886931
9.66,4,25.888968
-18.069837,60,25.993821
4.836287,19,26.031719
-15.471574,60,26.117639
1.936055,46,26.16868
5.842986,18,26.200725
9.99,1,26.201719
9.016393,6,26.203721
-24.722012,60,26.283786
4.96207,21,26.317604
-28.617509,60,26.37411
6.788418,15,26.408812
-17.415211,60,26.498454
-6.055591,34,26.534787
9.467157,5,26.536782
7.492129,16,26.544128
-22.268407,60,26.654403
-3.173913,39,26.736639
8.41961,8,26.742643
-23.16426,60,26.828832
-37.393541,60,26.902324
-25.580235,60,26.95222
-33.650929,60,27.029307
-16.228435,60,27.112018
8.864972,7,27.115019
-22.311905,60,27.185878
4.003766,36,27.23807
2.898396,28,27.282834
-17.050067,60,27.375945
-20.915782,60,27.490201
-17.125942,60,27.590892
5.065184,25,27.66295
4.237463,18,27.68314
-1.183724,49,27.789454
9.99,1,27.790464
-21.866389,60,27.881321
-19.935202,60,27.975691
-26.404286,60,28.024512
-26.726321,60,28.120869
4.546764,24,28.155806
3.536289,25,28.195656
-28.770636,60,28.27209
7.735736,14,28.278086
-19.179807,55,28.361497
-5.679023,43,28.412901
-19.507851,60,28.506543
9.99,1,28.508085
-20.535025,60,28.591089
-24.122524,60,28.673902
-4.733585,43,28.722406
-22.828589,60,28.825462
-31.356133,60,28.949407
2.675928,21,29.020344
-28.459946,60,29.151596
-17.156349,60,29.217363
8.171966,11,29.246739
-6.686508,58,29.327371
-22.008991,60,29.379516
9.88,2,29.380514
-5.499423,37,29.455379
6.20164,20,29.46438
9.99,1,29.46538
8.500708,11,29.511494
2.748157,20,29.52653
-31.496078,60,29.661634
-27.231089,60,29.745508
-28.58097,60,29.82269
-20.773193,60,29.904513
-6.70172,53,29.962975
-19.813892,60,30.042469
9.99,1,30.04313
-2.736869,48,30.133182
4.396128,26,30.174936
-5.104841,52,30.228158
-0.651611,35,30.275852
7.113846,10,30.305091
-24.283213,60,30.387233
-12.798673,57,30.439638
9.77,3,30.441632
-18.791434,60,30.546985
-5.448167,38,30.58913
-25.682616,60,30.670776
-28.105597,60,30.76142
9.88,2,30.763427
9.205736,7,30.812392
0.955136,23,30.82741
-24.199314,60,30.931575
-34.270232,60,31.009698
-16.924178,60,31.087012
-22.688401,60,31.1812
-27.450626,60,31.255511
-26.454325,60,31.321093
-22.154998,60,31.424512
-1.978464,42,31.494361
-22.490738,60,31.578667
-17.217181,60,31.6338
1.031552,32,31.809397
-21.30024,60,31.831168
6.0451,14,31.837367
1.641898,27,31.962271
-25.882521,60,31.987578
-15.639936,60,32.010103
5.526224,26,32.167253
-5.26913,58,32.192207
8.55568,9,32.195222
9.88,2,32.196213
-24.880991,60,32.351177
2.438875,29,32.364173
-25.830721,60,32.38577
-21.366259,60,32.560261
-22.39944,60,32.580398
5.565129,20,32.587947
-26.88884,60,32.727258
2.448076,24,32.735255
-21.479141,60,32.881671
-2.130212,43,32.898237
5.884599,15,32.90526
-22.992869,60,33.074599
-25.9299,60,33.099613
0.924492,29,33.109613
8.995736,8,33.113613
-26.727114,60,33.274096
8.669286,10,33.278097
-13.083561,60,33.301107
3.321399,36,33.508332
-21.378666,60,33.535036
0.362185,35,33.546998
1.668424,23,33.554999
4.97156,21,33.696549
6.701945,14,33.701555
-26.938412,60,33.723754
-28.6559,60,33.884959
3.935607,28,33.894945
-22.311029,60,33.914942
-1.069178,35,34.045771
-16.028449,60,34.069481
9.494972,4,34.071478
-20.570258,60,34.2333
-17.142609,60,34.257324
-29.131609,60,34.388792
8.954972,8,34.392653
-26.418335,60,34.414664
-22.788353,60,34.544104
-8.765725,58,34.565392
-30.457979,60,34.588061
9.494972,4,34.705346
3.340007,29,34.720683
-26.713735,60,34.746924
-32.065606,60,34.890621
3.213649,29,34.900614
-26.419658,60,34.922076
-26.65417,60,35.089428
-25.485285,60,35.134556
-4.719443,51,35.292186
9.99,1,35.293184
4.054852,23,35.304209
9.99,1,35.305188
-16.359961,60,35.328228
9.99,1,35.329228
-29.467932,60,35.479015
3.837477,30,35.496614
-25.660508,60,35.634038
-34.098765,60,35.669645
8.817101,7,35.673617
9.137157,8,35.676649
-29.440626,60,35.84768
-22.778095,60,35.87075
9.315736,6,35.872748
8.725137,7,35.875747
-36.478178,60,36.019872
-26.409006,60,36.047394
-20.219458,60,36.184422
-2.149079,36,36.200879
7.669123,13,36.205865
8.528522,10,36.209869
