#{"t_start": 1764081868.5235157, "env_id": "None"}
r,l,t
-34.95,28,6.416704
-29.8,23,6.424837
-33.25,26,6.442018
-33.95,28,6.453017
-36.8,30,6.471383
-35.7,27,6.481566
-29.95,23,6.490559
-33.2,27,6.509647
-32.85,27,6.520106
-29.03,19,6.526105
-29.8,21,6.544097
-26.78,18,6.550588
-35.3,25,6.560587
-29.7,24,6.578098
-32.4,23,6.587473
-30.85,24,6.604033
-25.65,21,6.61309
-29.4,20,6.619928
-28.55,22,6.6402
-31.25,22,6.648209
-34.05,25,6.658351
-30.5,24,6.675215
-33.8,26,6.685206
-36.1,28,6.705278
-31.05,24,6.714789
-34.1,28,6.725898
-29.85,22,6.743906
-32.75,24,6.758806
-29.85,21,6.768983
-30.4,24,6.79128
-33.1,27,6.801484
-29.065,21,6.809485
-27.45,22,6.825669
-25.73,18,6.832275
-30.2,22,6.840147
-36.9,29,6.860433
-32.25,25,6.869998
-29.55,21,6.892485
-31.125,22,6.900553
-29.65,22,6.907566
-28.4,21,6.927262
-28.9,21,6.935255
-27.75,21,6.942269
-30.25,23,6.962695
-29.05,24,6.97162
-26.45,21,6.97962
-27.65,20,6.995613
-27.55,21,7.002745
-31.05,23,7.01166
-30.3,25,7.030113
-32.15,23,7.039114
-29.0,24,7.047112
-30.3,22,7.06575
-26.6,21,7.073747
-29.35,21,7.080649
-30.45,21,7.098644
-33.55,27,7.107675
-27.65,22,7.124254
-27.95,21,7.134364
-25.05,20,7.141923
-31.2,24,7.157958
-26.75,20,7.165042
-28.63,19,7.173215
-29.2,24,7.193217
-26.8,22,7.202257
-28.5,21,7.210257
-27.55,21,7.22382
-24.85,20,7.231824
-26.4,21,7.242834
-27.65,20,7.259864
-26.2,22,7.269145
-25.9,20,7.276146
-27.15,21,7.290532
-25.13,17,7.296564
-25.3,20,7.307116
-25.9,20,7.316293
-28.3,22,7.332437
-27.05,20,7.339437
-25.48,16,7.345423
-28.25,21,7.362496
-27.3,21,7.371058
-29.615,20,7.379053
-25.7,20,7.394167
-26.65,21,7.402287
-31.55,23,7.410193
-25.8,21,7.425709
-25.0,20,7.433707
-25.25,20,7.440709
-26.95,21,7.455829
-26.5,21,7.464542
-26.45,21,7.47244
-27.9,22,7.489929
-29.7,22,7.497938
-27.95,21,7.505098
-26.85,22,7.521612
-28.35,22,7.531032
-27.75,21,7.53789
-27.9,22,7.553877
-29.05,22,7.561926
-25.5,20,7.568754
-26.9,20,7.584747
-25.9,21,7.65405
-25.5,20,7.662162
-26.1,20,7.681303
-24.4,20,7.688308
-25.4,21,7.69631
-27.9,22,7.713405
-26.5,19,7.721347
-28.35,22,7.729345
-24.8,20,7.736346
-26.5,20,7.752952
-26.25,21,7.760006
-29.05,24,7.768846
-27.65,20,7.784976
